menu_id	label	link	icon	parent	sort	time	status
91	employee_salary_list	admin/payroll/employee_salary_list	fa fa-user-secret	89	3	2023-08-01 04:46:59	1
92	make_payment	admin/payroll/make_payment	fa fa-tasks	89	4	2023-08-01 04:46:59	1
93	generate_payslip	admin/payroll/generate_payslip	fa fa-list-ul	89	5	2023-08-01 04:46:59	1
94	salary_template	admin/payroll/salary_template	fa fa-money	89	0	2023-08-01 04:46:59	1
95	hourly_rate	admin/payroll/hourly_rate	fa fa-clock-o	89	1	2023-08-01 04:46:59	1
96	payroll_summary	admin/payroll/payroll_summary	fa fa-camera-retro	89	6	2023-08-01 04:46:59	1
97	provident_fund	admin/payroll/provident_fund	fa fa-briefcase	89	8	2023-08-01 04:46:59	1
98	advance_salary	admin/payroll/advance_salary	fa fa-cc-mastercard	89	7	2023-08-01 04:46:59	1
99	employee_award	admin/award	fa fa-trophy	89	10	2023-08-01 04:46:59	1
100	announcements	admin/announcements	fa fa-bullhorn icon	0	22	2023-08-01 04:46:59	1
101	training	admin/training	fa fa-suitcase	0	21	2023-08-01 04:46:59	1
102	job_circular	#	fa fa-globe	0	17	2023-08-01 04:46:59	1
103	jobs_posted	admin/job_circular/jobs_posted	fa fa-ticket	102	0	2023-08-01 04:46:59	1
104	jobs_applications	admin/job_circular/jobs_applications	fa fa-compass	102	1	2023-08-01 04:46:59	1
105	attendance	#	fa fa-file-text	0	16	2023-08-01 04:46:59	1
106	timechange_request	admin/attendance/timechange_request	fa fa-calendar-o	105	1	2023-08-01 04:46:59	1
107	attendance_report	admin/attendance/attendance_report	fa fa-file-text	105	2	2023-08-01 04:46:59	1
108	time_history	admin/attendance/time_history	fa fa-clock-o	105	0	2023-08-01 04:46:59	1
109	pull-down			0	0	2023-08-01 04:46:59	0
110	filemanager	admin/filemanager	fa fa-file	0	3	2023-08-01 04:46:59	1
111	company_details	admin/settings	fa fa-fw fa-info-circle	25	1	2023-08-01 04:46:59	2
112	system_settings	admin/settings/system	fa fa-fw fa-desktop	25	2	2023-08-01 04:46:59	2
113	email_settings	admin/settings/email	fa fa-fw fa-envelope	25	3	2023-08-01 04:46:59	2
114	email_templates	admin/settings/templates	fa fa-fw fa-pencil-square	25	5	2023-08-01 04:46:59	2
115	email_integration	admin/settings/email_integration	fa fa-fw fa-envelope-o	25	6	2023-08-01 04:46:59	2
116	payment_settings	admin/settings/payments	fa fa-fw fa-dollar	25	7	2023-08-01 04:46:59	2
117	invoice_settings	admin/settings/invoice	fa fa-fw fa-money	25	8	2023-08-01 04:46:59	2
118	estimate_settings	admin/settings/estimate	fa fa-fw fa-file-o	25	10	2023-08-01 04:46:59	2
119	tickets_leads_settings	admin/settings/tickets	fa fa-fw fa-ticket	25	14	2023-08-01 04:46:59	2
120	theme_settings	admin/settings/theme	fa fa-fw fa-code	25	20	2023-08-01 04:46:59	2
121	working_days	admin/settings/working_days	fa fa-fw fa-calendar	25	22	2023-08-01 04:46:59	2
